,age,health_ins,logwage,wage,maritl_1. Never Married,maritl_2. Married,maritl_3. Widowed,maritl_4. Divorced,maritl_5. Separated,race_1. White,race_2. Black,race_3. Asian,race_4. Other,education_1. < HS Grad,education_2. HS Grad,education_3. Some College,education_4. College Grad,education_5. Advanced Degree,region_2. Middle Atlantic,jobclass_1. Industrial,jobclass_2. Information,health_1. <=Good,health_2. >=Very Good
0,18,2. No,4.318063334962759,75.0431540173515,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
1,24,2. No,4.25527250510331,70.47601964694451,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
2,45,1. Yes,4.8750612633917,130.982177377461,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
3,43,1. Yes,5.041392685158231,154.68529299563,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
4,50,1. Yes,4.318063334962759,75.0431540173515,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
5,54,1. Yes,4.84509804001426,127.115743812184,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
6,44,1. Yes,5.13302127864665,169.528538036679,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
7,30,1. Yes,4.7160033436348,111.720849360989,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
8,41,1. Yes,4.77815125038364,118.884359339886,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
9,52,1. Yes,4.85733249643127,128.680488220624,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
10,45,1. Yes,4.76342799356294,117.146816914805,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
11,34,2. No,4.39794000867204,81.2832532842527,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
12,35,1. Yes,4.494154594018441,89.49247951800008,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
13,39,1. Yes,4.90308998699194,134.705375118879,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
14,54,1. Yes,4.90308998699194,134.705375118879,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
15,51,1. Yes,4.50514997831991,90.48191335664008,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
